Player,#,Pos,Country Playing ,Club,Birth Place,Birth Date,Age,MP,Min,Gls,Player-additional,Country Playing
Roberto Alvarado,25,FW,mx,1.mx Guadalajara,Salamanca Estado de Guanajuato Mexico,9/7/98,24-074,1,18.0,0.0,ff871e14,
Edson Álvarez,4,MF,nl,Ajax,Tlalnepantla de Baz Estado de México Mexico,10/24/97,25-027,2,175.0,0.0,8b3ab7ad,
Kevin Álvarez,26,DF,mx, Pachuca,Colima Estado de Colima Mexico,1/15/99,23-309,2,70.0,0.0,636b0833,
Uriel Antuna,21,FWMF,mx,Cruz Azul,Gómez Palacio Estado de Durango Mexico,8/21/97,25-091,3,77.0,0.0,a35f5848,
Néstor Araujo,2,DF,mx,América,Guadalajara Estado de Jalisco Mexico,8/29/91,31-083,1,90.0,0.0,27a013f7,
Gerardo Arteaga,6,DF,be, Genk,Zapopan Estado de Jalisco Mexico,9/7/98,24-074,0,,,8b47ce35,
Luis Chávez,24,MF,mx, Pachuca,Cihuatlán Estado de Jalisco Mexico,1/15/96,26-309,3,270.0,1.0,e50949ea,
Rodolfo Cota,12,GK,mx, León,Mazatlán Estado de Sinaloa Mexico,7/3/87,35-140,0,,,a4a5868e,
Jorge Eduardo Sánchez,19,DF,nl,Ajax,Torreón Estado de Coahuila de Zaragoza Mexico,12/10/97,24-345,2,175.0,0.0,c8d1c3a5,
Rogelio Funes Mori,11,FW,mx,Monterrey,Mendoza Argentina,3/5/91,31-260,1,5.0,0.0,bf9a2406,
Jesús Gallardo,23,DF,mx, Monterrey,Cárdenas Estado de Tabasco Mexico,8/15/94,28-097,3,270.0,0.0,d0846b6c,
Andrés Guardado,18,MF,es, Betis,Guadalajara Estado de Jalisco Mexico,9/28/86,36-053,1,41.0,0.0,ef322658,
Erick Gutiérrez,14,MF,nl, PSV Eindhoven,Los Mochis Estado de Sinaloa Mexico,6/15/95,27-158,1,49.0,0.0,c7842dab,
Héctor Herrera,16,MF,us,Houston Dynamo,Tijuana Estado de Baja California Mexico,4/19/90,32-215,2,160.0,0.0,a8542814,
